Ticker,Category,Price,Trend,RSI,Volatility,Momentum_1M
BZ=F,Com_Energy,61.13,BEAR,40.63,18.81,-2.98
BZ=F,Com_Energy,63.75,BEAR,45.83,22.4,0.58
CL=F,Com_Energy,58.74,BEAR,39.34,25.86,-2.31
HO=F,Com_Energy,2.18,BEAR,22.06,35.03,-13.9
CL=F,Com_Energy,59.19,BEAR,45.9,25.42,-1.56
BZ=F,Com_Energy,63.39,BEAR,43.17,22.24,0.02
BZ=F,Com_Energy,61.12,BEAR,40.58,18.81,-3.0
BZ=F,Com_Energy,59.73,BEAR,29.52,19.21,-7.95
CL=F,Com_Energy,56.39,BEAR,38.31,20.4,-5.13
HO=F,Com_Energy,2.31,BULL,32.22,37.59,-7.32
HO=F,Com_Energy,2.32,BEAR,44.49,39.9,-4.69
HO=F,Com_Energy,2.26,BEAR,14.45,38.1,-12.3
BZ=F,Com_Energy,59.35,BEAR,29.7,17.87,-7.55
HO=F,Com_Energy,2.36,BULL,37.28,38.92,-5.34
HO=F,Com_Energy,2.2,BEAR,20.38,37.08,-10.89
HO=F,Com_Energy,2.2,BEAR,20.46,37.06,-10.82
HO=F,Com_Energy,2.33,BULL,34.22,37.92,-6.57
BZ=F,Com_Energy,60.21,BEAR,29.59,17.22,-6.49
BZ=F,Com_Energy,60.15,BEAR,32.37,18.43,-5.29
CL=F,Com_Energy,55.89,BEAR,34.39,20.95,-7.98
CL=F,Com_Energy,55.48,BEAR,35.82,20.72,-7.39
HO=F,Com_Energy,2.28,BEAR,13.35,39.54,-9.16
HO=F,Com_Energy,2.32,BEAR,15.59,38.89,-7.44
CL=F,Com_Energy,56.74,BEAR,37.41,19.43,-5.57
CL=F,Com_Energy,59.58,BEAR,47.08,24.92,0.25
HO=F,Com_Energy,2.14,BEAR,25.56,24.61,-18.95
CL=F,Com_Energy,58.26,BEAR,43.12,25.35,-4.55
CL=F,Com_Energy,59.76,BEAR,51.28,23.25,0.27
BZ=F,Com_Energy,62.38,BEAR,34.64,23.29,-2.62
CL=F,Com_Energy,57.49,BEAR,46.59,21.24,-2.04
CL=F,Com_Energy,60.08,BEAR,49.94,25.02,1.09
CL=F,Com_Energy,60.08,BEAR,49.94,25.02,1.09
CL=F,Com_Energy,57.44,BEAR,46.32,21.25,-2.13
BZ=F,Com_Energy,62.93,BEAR,41.62,22.68,-1.76
NG=F,Com_Energy,4.71,BULL,57.9,56.58,8.51
NG=F,Com_Energy,4.97,BEAR,79.73,51.81,14.64
RB=F,Com_Energy,1.72,BEAR,15.94,19.84,-11.18
