Ticker,Category
NVR,Sector_ConsumerDiscretionary
ORLY,Sector_ConsumerDiscretionary
PHM,Sector_ConsumerDiscretionary
POOL,Sector_ConsumerDiscretionary
RCL,Sector_ConsumerDiscretionary
RL,Sector_ConsumerDiscretionary
ROST,Sector_ConsumerDiscretionary
SBUX,Sector_ConsumerDiscretionary
TJX,Sector_ConsumerDiscretionary
TPR,Sector_ConsumerDiscretionary
TSCO,Sector_ConsumerDiscretionary
TSLA,Sector_ConsumerDiscretionary
ULTA,Sector_ConsumerDiscretionary
WSM,Sector_ConsumerDiscretionary
WYNN,Sector_ConsumerDiscretionary
YUM,Sector_ConsumerDiscretionary
ADM,Sector_ConsumerStaples
BF-B,Sector_ConsumerStaples
BG,Sector_ConsumerStaples
CAG,Sector_ConsumerStaples
CHD,Sector_ConsumerStaples
CLX,Sector_ConsumerStaples
COST,Sector_ConsumerStaples
CPB,Sector_ConsumerStaples
DG,Sector_ConsumerStaples
DLTR,Sector_ConsumerStaples
EL,Sector_ConsumerStaples
GIS,Sector_ConsumerStaples
HRL,Sector_ConsumerStaples
HSY,Sector_ConsumerStaples
K,Sector_ConsumerStaples
KDP,Sector_ConsumerStaples
KHC,Sector_ConsumerStaples
KMB,Sector_ConsumerStaples
KO,Sector_ConsumerStaples
KR,Sector_ConsumerStaples
KVUE,Sector_ConsumerStaples
LW,Sector_ConsumerStaples
MDLZ,Sector_ConsumerStaples
MKC,Sector_ConsumerStaples
MNST,Sector_ConsumerStaples
MO,Sector_ConsumerStaples
PEP,Sector_ConsumerStaples
PG,Sector_ConsumerStaples
PM,Sector_ConsumerStaples
SJM,Sector_ConsumerStaples
STZ,Sector_ConsumerStaples
SYY,Sector_ConsumerStaples
TAP,Sector_ConsumerStaples
TGT,Sector_ConsumerStaples
TSN,Sector_ConsumerStaples
WMT,Sector_ConsumerStaples
APA,Sector_Energy
BKR,Sector_Energy
COP,Sector_Energy
CTRA,Sector_Energy
CVX,Sector_Energy
DVN,Sector_Energy
EOG,Sector_Energy
EQT,Sector_Energy
EXE,Sector_Energy
FANG,Sector_Energy
HAL,Sector_Energy
KMI,Sector_Energy
MPC,Sector_Energy
OKE,Sector_Energy
OXY,Sector_Energy
PSX,Sector_Energy
SLB,Sector_Energy
TPL,Sector_Energy
TRGP,Sector_Energy
VLO,Sector_Energy
WMB,Sector_Energy
XOM,Sector_Energy
ACGL,Sector_Financials
AFL,Sector_Financials
AIG,Sector_Financials
AIZ,Sector_Financials
AJG,Sector_Financials
ALL,Sector_Financials
AMP,Sector_Financials
AON,Sector_Financials
APO,Sector_Financials
AXP,Sector_Financials
BAC,Sector_Financials
BEN,Sector_Financials
BK,Sector_Financials
BLK,Sector_Financials
BRK-B,Sector_Financials
BRO,Sector_Financials
BX,Sector_Financials
C,Sector_Financials
CB,Sector_Financials
CBOE,Sector_Financials
CFG,Sector_Financials
CINF,Sector_Financials
CME,Sector_Financials
COF,Sector_Financials
COIN,Sector_Financials
CPAY,Sector_Financials
EG,Sector_Financials
ERIE,Sector_Financials
FDS,Sector_Financials
FIS,Sector_Financials
FISV,Sector_Financials
FITB,Sector_Financials
GL,Sector_Financials
GPN,Sector_Financials
GS,Sector_Financials
HBAN,Sector_Financials
HIG,Sector_Financials
HOOD,Sector_Financials
IBKR,Sector_Financials
ICE,Sector_Financials
IVZ,Sector_Financials
JKHY,Sector_Financials
JPM,Sector_Financials
KEY,Sector_Financials
KKR,Sector_Financials
L,Sector_Financials
MA,Sector_Financials
MCO,Sector_Financials
MET,Sector_Financials
MMC,Sector_Financials
MS,Sector_Financials
MSCI,Sector_Financials
MTB,Sector_Financials
NDAQ,Sector_Financials
NTRS,Sector_Financials
PFG,Sector_Financials
PGR,Sector_Financials
PNC,Sector_Financials
PRU,Sector_Financials
PYPL,Sector_Financials
RF,Sector_Financials
RJF,Sector_Financials
SCHW,Sector_Financials
SPGI,Sector_Financials
